Engine_speed,Vehicle_speed,Absolute_throttle_position,Calculated_LOAD_value,Acc_Longitudinal,Rate Speed,Rate Throttle,RT/RS,VS/ES
670,0,14.5,44.7,0,0,0,0,0
664,0,14.5,45.1,-0.1,0,0,0,0
670,0,14.5,44.7,-0.1,0,0,0,0
663,0,14.5,45.1,0.3,0,0,0,0
665,0,14.5,45.1,-0.1,0,0,0,0
671,0,14.5,44.7,-0.2,0,0,0,0
670,0,14.5,45.1,-0.3,0,0,0,0
670,0,14.5,45.5,-0.1,0,0,0,0
673,0,14.5,45.1,-0.1,0,0,0,0
669,0,14.5,45.1,-0.1,0,0,0,0
665,0,14.5,45.1,0,0,0,0,0
677,0,14.5,45.5,-0.1,0,0,0,0
1219,22,14.5,45.1,-0.1,22,0,0,0.656275636
1321,24,14.5,45.1,-0.1,2,0,0,0.660656527
1362,25,14.5,45.1,-0.1,1,0,0,0.667467628
1545,23,14.5,45.1,-0.1,2,0,0,0.541335687
1298,24,14.5,45.5,-0.1,1,0,0,0.672363076
1368,25,14.5,45.1,-0.1,1,0,0,0.664540138
1159,14,14.5,45.5,-0.1,11,0,0,0.439250137
1315,16,14.5,45.1,-0.1,2,0,0,0.442447287
1088,16,14.5,45.1,-0.1,0,0,0,0.534759358
850,12,14.5,45.1,-0.1,4,0,0,0.513368984
677,0,14.5,45.5,-0.1,12,0,0,0
676,0,14.5,45.1,-0.1,0,0,0,0
668,0,14.5,45.1,-0.1,0,0,0,0
686,0,14.5,45.1,-0.1,0,0,0,0
775,0,14.5,45.5,-0.1,0,0,0,0
757,2,14.5,45.1,-0.1,2,0,0,0.096073015
674,0,14.5,45.1,-0.1,2,0,0,0
683,0,14.5,45.5,-0.1,0,0,0,0
667,0,14.5,45.1,-0.1,0,0,0,0
670,0,14.5,45.1,-0.1,0,0,0,0
668,0,14.5,45.5,0.1,0,0,0,0
667,0,15.3,46.7,0.3,0,0.8,0,0
673,0,16.9,48.6,0.9,0,1.6,0,0
668,0,22,62.4,1.6,0,5.1,0,0
673,0,24.3,61.2,1.3,0,2.3,0,0
672,0,26.3,69.8,1.3,0,2,0,0
663,0,29,74.9,1.4,0,2.7,0,0
667,0,27.5,67.8,1,0,1.5,0,0
661,0,23.1,56.1,0.6,0,4.4,0,0
670,0,17.3,32.2,0,0,5.8,0,0
671,0,15.3,24.3,-0.2,0,2,0,0
669,0,13.7,14.5,-0.5,0,1.6,0,0
675,0,15.3,18.4,-0.5,0,1.6,0,0
654,0,14.5,19.6,-0.5,0,0.8,0,0
654,0,15.3,20.8,-0.4,0,0.8,0,0
660,0,14.5,21.6,-0.1,0,0.8,0,0
673,0,14.1,18.4,-0.4,0,0.4,0,0
670,0,14.1,22.4,-0.9,0,0,0,0
1292,0,14.5,25.9,-0.6,0,0.4,0,0
883,0,14.5,25.1,-0.3,0,0,0,0
759,0,14.5,25.9,-0.7,0,0,0,0
704,0,14.9,33.7,-0.5,0,0.4,0,0
735,0,14.9,38.8,-0.2,0,0,0,0
693,0,15.3,41.2,-0.5,0,0.4,0,0
641,0,15.3,42.7,-0.3,0,0,0,0
641,0,14.5,38.4,-0.9,0,0.8,0,0
663,0,15.3,43.1,-0.1,0,0.8,0,0
670,0,17.6,50.6,1,0,2.3,0,0
664,0,16.9,40.4,0.7,0,0.7,0,0
659,0,16.5,34.1,0.4,0,0.4,0,0
657,0,17.6,37.3,0.5,0,1.1,0,0
654,0,17.6,36.5,0.6,0,0,0,0
662,0,19.6,43.5,0.6,0,2,0,0
662,0,23.1,67.1,1.4,0,3.5,0,0
664,0,22.4,59.6,1.1,0,0.7,0,0
666,0,23.1,58.4,1.1,0,0.7,0,0
668,0,23.5,56.5,0.9,0,0.4,0,0
669,0,24.3,68.2,0.8,0,0.8,0,0
668,0,20.8,49,0.5,0,3.5,0,0
670,0,20,49.4,0.2,0,0.8,0,0
667,0,20.8,58.4,0.4,0,0.8,0,0
665,0,22.4,67.1,0.5,0,1.6,0,0
666,0,22,60.4,0.5,0,0.4,0,0
666,0,23.9,65.9,0.5,0,1.9,0,0
667,0,25.9,73.3,0.6,0,2,0,0
666,0,27.5,76.1,0.6,0,1.6,0,0
665,0,30.6,82.7,0.7,0,3.1,0,0
668,0,34.5,84.7,0.7,0,3.9,0,0
666,0,16.1,24.7,-0.1,0,18.4,0,0
669,0,16.1,22,-0.3,0,0,0,0
668,0,16.1,22,-0.3,0,0,0,0
669,0,15.3,20,-0.4,0,0.8,0,0
670,0,15.7,22,-0.5,0,0.4,0,0
668,0,15.3,22,-0.6,0,0.4,0,0
665,0,15.3,21.6,-0.5,0,0,0,0
668,0,15.3,22.4,-0.5,0,0,0,0
670,0,16.9,29.8,-0.1,0,1.6,0,0
671,0,14.1,21.6,-0.3,0,2.8,0,0
672,0,14.1,14.9,-0.4,0,0,0,0
668,0,14.1,15.3,-0.4,0,0,0,0
662,0,13.7,14.1,-0.4,0,0.4,0,0
664,0,13.7,15.7,-0.4,0,0,0,0
691,0,14.1,25.9,-0.3,0,0.4,0,0
1187,14,14.1,27.1,-0.3,14,0,0,0.428888719
1678,34,14.1,27.5,-0.6,20,0,0,0.736807888
1718,48,13.7,25.1,-0.5,14,0.4,0.047756278,1.015980527
1576,45,15.3,29.4,-0.4,3,1.6,0.891450528,1.0383018
1619,30,19.6,50.6,0.3,15,4.3,0.479154659,0.67381661
1732,63,13.7,16.5,-0.6,33,5.9,0.298838529,1.32269578
1921,67,14.1,17.6,-1.1,4,0.4,0.167146974,1.268278832
673,0,14.1,20,-0.8,67,0,0,0
674,0,14.1,25.1,-0.9,0,0,0,0
672,0,14.9,25.9,-1.5,0,0.8,0,0
672,0,14.9,27.1,-0.9,0,0,0,0
670,0,14.5,25.1,-0.3,0,0.4,0,0
672,0,14.5,23.9,-0.2,0,0,0,0
671,0,14.5,25.9,-0.2,0,0,0,0
670,0,14.5,28.6,-0.2,0,0,0,0
669,0,14.9,34.5,-0.8,0,0.4,0,0
669,0,15.3,42.4,-1.4,0,0.4,0,0
670,0,14.5,37.3,-0.1,0,0.8,0,0
670,0,14.5,34.1,0,0,0,0,0
668,0,14.5,34.9,0,0,0,0,0
673,0,14.5,36.1,-0.4,0,0,0,0
669,0,14.9,43.5,0,0,0.4,0,0
667,0,17.3,50.6,0.9,0,2.4,0,0
670,0,17.3,43.1,0.8,0,0,0,0
668,0,18.8,42.7,0.7,0,1.5,0,0
666,0,21.2,49.8,1.1,0,2.4,0,0
671,0,15.7,26.7,0.1,0,5.5,0,0
668,0,14.1,21.2,-0.3,0,1.6,0,0
672,0,14.9,21.6,-0.3,0,0.8,0,0
669,0,15.3,25.9,-0.3,0,0.4,0,0
671,0,14.1,19.6,-0.8,0,1.2,0,0
668,0,14.1,20.8,-0.8,0,0,0,0
668,0,14.5,25.5,-0.4,0,0.4,0,0
661,0,14.1,27.1,-0.1,0,0.4,0,0
669,0,14.5,29.4,-1.2,0,0.4,0,0
667,0,14.1,31.4,-0.8,0,0.4,0,0
666,0,14.5,33.7,-0.4,0,0.4,0,0
664,0,14.5,34.5,-0.2,0,0,0,0
670,0,14.9,33.3,-0.6,0,0.4,0,0
667,0,14.1,24.7,-0.7,0,0.8,0,0
671,0,14.1,31.4,-0.6,0,0,0,0
671,0,14.1,34.5,-0.8,0,0,0,0
668,0,14.9,42.4,-0.9,0,0.8,0,0
672,0,14.5,45.5,-0.6,0,0.4,0,0
668,0,14.5,47.8,-0.4,0,0,0,0
671,0,14.5,47.1,-0.2,0,0,0,0
671,0,13.7,38,-0.2,0,0.8,0,0
669,0,13.7,37.6,-0.2,0,0,0,0
668,0,13.7,32.5,-0.2,0,0,0,0
666,0,14.5,46.3,0,0,0.8,0,0
669,0,14.1,22.7,-0.5,0,0.4,0,0
671,0,14.5,28.6,-0.1,0,0.4,0,0
671,0,14.1,31,-0.1,0,0.4,0,0
670,0,14.1,30.2,-0.1,0,0,0,0
668,0,14.5,32.2,-0.1,0,0.4,0,0
673,0,14.5,35.7,-0.1,0,0,0,0
672,0,14.9,41.2,-0.1,0,0.4,0,0
667,0,14.9,46.7,-0.1,0,0,0,0
668,0,15.3,48.6,-0.1,0,0.4,0,0
669,0,15.3,49.4,-0.1,0,0,0,0
668,0,14.9,48.6,-0.1,0,0.4,0,0
667,0,14.9,46.7,-0.1,0,0,0,0
671,0,14.9,46.7,-0.1,0,0,0,0
677,0,14.9,47.5,-0.1,0,0,0,0
669,0,14.9,47.8,-0.1,0,0,0,0
672,0,14.9,47.8,-0.1,0,0,0,0
671,0,14.9,47.8,-0.1,0,0,0,0
668,0,14.9,47.8,-0.1,0,0,0,0
674,0,14.9,47.8,-0.1,0,0,0,0
686,0,14.9,47.1,-0.1,0,0,0,0
1741,47,14.9,47.1,-0.1,47,0,0,0.981671975
1684,47,14.9,47.1,-0.1,0,0,0,1.01489959
676,0,14.9,47.5,-0.1,47,0,0,0
674,0,14.9,47.1,-0.1,0,0,0,0
674,0,16.1,52.2,-0.1,0,1.2,0,0
671,0,16.1,55.3,-0.1,0,0,0,0
674,0,15.7,55.7,-0.1,0,0.4,0,0
672,0,14.9,52.9,-0.1,0,0.8,0,0
671,0,14.5,45.1,-0.1,0,0.4,0,0
669,0,14.5,45.5,-0.1,0,0,0,0
668,0,14.9,46.7,-0.1,0,0.4,0,0
669,0,14.9,46.7,-0.1,0,0,0,0
669,0,14.9,46.7,-0.1,0,0,0,0
667,0,14.9,46.7,-0.1,0,0,0,0
671,0,14.9,46.7,-0.1,0,0,0,0
673,0,14.9,46.7,-0.1,0,0,0,0
670,0,14.9,47.1,-0.1,0,0,0,0
672,0,14.9,46.3,-0.1,0,0,0,0
667,0,14.9,46.7,-0.1,0,0,0,0
667,0,14.9,47.1,-0.1,0,0,0,0
667,0,14.9,46.7,-0.1,0,0,0,0
671,0,14.9,46.7,-0.1,0,0,0,0
666,0,14.9,46.7,-0.1,0,0,0,0
669,0,14.9,47.1,-0.1,0,0,0,0
669,0,14.9,46.7,-0.1,0,0,0,0
669,0,14.9,46.7,-0.1,0,0,0,0
670,0,14.9,47.1,-0.1,0,0,0,0
665,0,15.3,48.6,-0.1,0,0.4,0,0
666,0,15.7,54.5,-0.1,0,0.4,0,0
668,0,15.7,55.7,-0.3,0,0,0,0
668,0,16.5,57.3,-0.3,0,0.8,0,0
666,0,18.4,63.9,-0.6,0,1.9,0,0
669,0,16.9,54.1,-0.4,0,1.5,0,0
669,0,16.5,59.6,0.2,0,0.4,0,0
668,0,16.5,57.6,0.7,0,0,0,0
669,0,15.7,55.7,0.1,0,0.8,0,0
668,0,18,64.7,0.5,0,2.3,0,0
667,0,20.8,64.7,1.4,0,2.8,0,0
670,0,20,55.7,0.5,0,0.8,0,0
669,0,18.4,40,0.3,0,1.6,0,0
670,0,19.2,48.2,0.3,0,0.8,0,0
669,0,19.6,54.9,0.5,0,0.4,0,0
668,0,16.5,35.7,0,0,3.1,0,0
677,0,15.3,27.5,-0.4,0,1.2,0,0
664,0,15.3,32.2,-0.6,0,0,0,0
667,0,15.3,38,-0.3,0,0,0,0
666,0,19.2,56.5,0.1,0,3.9,0,0
663,0,24.7,73.3,1,0,5.5,0,0
665,0,16.1,31,-0.2,0,8.6,0,0
662,0,18,34.5,-0.1,0,1.9,0,0
664,0,24.3,68.2,1.1,0,6.3,0,0
667,0,18,36.5,0.2,0,6.3,0,0
663,0,16.5,35.7,-0.1,0,1.5,0,0
668,0,15.7,30.2,-0.3,0,0.8,0,0
667,0,17.3,39.2,-0.1,0,1.6,0,0
667,0,16.9,40,0.1,0,0.4,0,0
668,0,15.3,29.4,-0.4,0,1.6,0,0
669,0,15.3,30.2,-1.1,0,0,0,0
669,0,16.1,38.4,-1.3,0,0.8,0,0
667,0,16.1,46.7,-0.5,0,0,0,0
669,0,15.7,47.8,-0.4,0,0.4,0,0
673,0,16.9,52.5,-0.2,0,1.2,0,0
666,0,19.6,58,0.4,0,2.7,0,0
670,0,19.6,56.1,0.4,0,0,0,0
668,0,16.9,44.3,0.3,0,2.7,0,0
671,0,15.7,33.3,-0.1,0,1.2,0,0
667,0,15.3,32.2,-0.2,0,0.4,0,0
670,0,16.5,36.5,-0.1,0,1.2,0,0
670,0,18.4,50.2,0.3,0,1.9,0,0
671,0,20.8,59.6,0.6,0,2.4,0,0
667,0,19.2,51.4,0.4,0,1.6,0,0
671,0,15.7,29,-0.1,0,3.5,0,0
669,0,15.3,26.3,-0.2,0,0.4,0,0
670,0,15.3,25.9,-0.2,0,0,0,0
670,0,15.3,24.7,-0.3,0,0,0,0
669,0,14.9,26.7,-0.7,0,0.4,0,0
665,0,15.3,32.9,-0.6,0,0.4,0,0
714,0,18.8,54.1,0.3,0,3.5,0,0
674,0,36.5,87.5,2,0,17.7,0,0
670,0,42.7,83.5,2.2,0,6.2,0,0
669,0,16.5,34.9,0.3,0,26.2,0,0
669,0,18.8,52.2,0.7,0,2.3,0,0
686,0,25.1,76.1,2,0,6.3,0,0
1260,19,25.1,74.9,1.9,19,0,0,0.548340548
1207,14,26.3,77.3,1.8,5,1.2,0.401152738,0.421782029
1154,14,36.9,87.1,2.1,0,10.6,0,0.441153301
1102,14,77.3,90.2,2.1,0,40.4,0,0.461969972
1120,15,52.9,76.9,1.8,1,24.4,40.78386167,0.487012987
667,0,16.9,31.8,0.3,15,36,4.011527378,0
666,0,23.9,67.5,1.4,0,7,0,0
668,0,16.1,31,0.1,0,7.8,0,0
683,0,21.6,56.1,0.8,0,5.5,0,0
1938,56,18.4,39.6,0.4,56,3.2,0.095512557,1.05075523
1937,56,15.7,27.5,-0.1,0,2.7,0,1.051297696
2210,56,15.7,29.4,-0.2,0,0,0,0.92143151
2303,52,15.7,28.6,-0.5,4,0,0,0.821063435
1998,52,15.7,30.6,-0.8,0,0,0,0.946400946
2131,44,15.3,35.3,-0.5,8,0.4,0.083573487,0.750821211
1272,30,15.3,37.3,-0.2,14,0,0,0.857632933
1101,25,14.9,37.6,-0.4,5,0.4,0.133717579,0.825695649
1671,25,16.5,42.7,-0.2,0,1.6,0,0.544040041
1493,29,42,85.9,1,4,25.5,10.6556196,0.706326493
1639,34,65.5,84.3,1.6,5,23.5,7.855907781,0.75434023
1591,32,14.9,21.6,-0.1,2,50.6,42.28818444,0.731386778
1546,29,16.1,27.1,-0.2,3,1.2,0.668587896,0.682112196
1406,29,21.2,59.6,0.4,0,5.1,0,0.750032329
1537,30,19.6,52.2,0.3,1,1.6,2.674351585,0.709765186
1590,30,16.5,27.1,-1.1,0,3.1,0,0.686106346
1507,30,16.5,33.3,-2,0,0,0,0.723894553
1772,37,16.9,47.1,-1.9,7,0.4,0.095512557,0.759285861
2019,39,18,56.5,0.1,2,1.1,0.919308357,0.702417939
1528,39,42.4,88.6,1.3,0,24.4,0,0.928129462
1965,48,45.5,87.5,1.8,9,3.1,0.575728466,0.888272033
2119,78,19.6,42.4,0.5,30,25.9,1.443035543,1.338538762
2155,78,21.6,60,0.6,0,2,0,1.316178022
2426,91,18.4,42,0.3,13,3.2,0.411438705,1.364011092
2427,91,16.5,29.4,-0.1,0,1.9,0,1.363449077
2433,91,16.1,24.3,-0.2,0,0.4,0,1.360086687
2498,91,16.1,22.7,-0.3,0,0,0,1.324696121
2506,94,15.7,22.7,-0.4,3,0.4,0.222862632,1.363999129
2505,94,15.3,24.3,-1.5,0,0.4,0,1.36454364
2507,94,16.5,34.1,-1.8,0,1.2,0,1.363455053
2309,86,16.1,45.1,-0.5,8,0.4,0.083573487,1.354384031
2317,87,20,61.6,2.2,1,3.9,6.518731988,1.36540197
2013,75,27.1,74.5,2.1,12,7.1,0.98895293,1.354829969
2016,75,24.3,64.7,1.5,0,2.8,0,1.352813853
1930,72,18,41.2,0.6,3,6.3,3.510086455,1.35657089
1929,71,15.3,24.3,-0.1,1,2.7,4.5129683,1.338423111
1891,71,17.3,36.5,0.1,0,2,0,1.365318975
1755,63,16.1,39.2,0.2,8,1.2,0.250720461,1.305361305
1700,63,15.7,33.3,-0.1,0,0.4,0,1.347593583
2011,73,20,59.6,0.8,10,4.3,0.718731988,1.320012658
2403,90,20.4,60,1,17,0.4,0.0393287,1.361933946
1731,63,19.2,54.1,0.7,27,1.2,0.074287544,1.323459902
2005,60,18.4,48.2,0.4,3,0.8,0.445725264,1.088188619
1746,60,19.6,55.3,0.7,0,1.2,0,1.249609497
2023,60,20.8,59.6,1,0,1.2,0,1.078506269
2132,60,19.6,52.5,0.9,0,1.2,0,1.023366877
2029,76,17.6,43.1,0.4,16,2,0.208933718,1.362068193
1846,69,19.2,53.3,0.8,7,1.6,0.382050226,1.359204176
1753,66,15.7,38.4,0.3,3,3.5,1.950048031,1.369081574
2023,56,16.1,38.8,0.1,10,0.4,0.06685879,1.006605851
2355,89,17.6,49.8,0.5,33,1.5,0.075975897,1.374252075
2409,89,14.9,34.5,0.2,0,2.7,0,1.343446923
2104,80,34.9,76.9,1.7,9,20,3.714377201,1.38264777
2147,81,72.5,91,2.9,1,37.6,62.84726225,1.371893128
2188,81,31,77.3,1.9,0,41.5,0,1.346185807
2550,96,27.1,75.7,1.5,15,3.9,0.434582133,1.368983957
1524,58,24.7,68.6,1.3,38,2.4,0.10556651,1.383917919
1703,58,21.6,54.9,0.9,0,3.1,0,1.2384562
1648,61,18.4,42,0.4,3,3.2,1.782901057,1.345984113
1672,61,15.7,33.3,-0.4,0,2.7,0,1.326663767
1725,61,16.5,41.6,-1.2,0,0.8,0,1.285902503
1723,63,16.5,47.8,0,2,0,0,1.329604812
1744,63,20.4,66.3,0.6,0,3.9,0,1.313594662
1635,63,21.6,62.4,1.6,0,1.2,0,1.40116764
1635,60,16.9,37.6,0.2,3,4.7,2.618635927,1.334445371
1626,60,19.2,53.7,0.4,0,2.3,0,1.3418316
810,7,20.8,57.3,0.5,53,1.6,0.050459464,0.314253648
1054,7,22,56.9,0.7,0,1.2,0,0.241504226
1165,20,16.9,28.6,0,13,5.1,0.655730437,0.624268435
1071,16,16.9,27.8,-0.2,4,0,0,0.543247602
1112,16,16.9,28.6,-0.2,0,0,0,0.523217789
1208,18,16.1,22.7,-1.1,2,0.8,0.668587896,0.541842264
1270,18,16.5,24.7,-2.2,0,0.4,0,0.515390122
822,10,18.4,49.8,-2.3,8,1.9,0.396974063,0.442380004
817,9,15.3,32.5,-1.8,1,3.1,5.181556196,0.400578614
819,9,15.3,30.2,-1.9,0,0,0,0.3996004
827,9,15.3,34.9,-2.1,0,0,0,0.395734858
826,10,15.7,43.5,-2.2,1,0.4,0.668587896,0.440237728
832,11,16.1,48.2,-2.5,1,0.4,0.668587896,0.480769231
830,11,15.3,47.1,-1.7,0,0.8,0,0.481927711
836,11,15.3,47.8,-1.7,0,0,0,0.4784689
875,5,15.3,49,-2,6,0,0,0.207792208
818,8,14.9,49.8,-1.2,3,0.4,0.222862632,0.355634585
810,8,14.9,50.2,-1.2,0,0,0,0.359147026
988,7,14.9,50.2,-1.2,1,0,0,0.2576371
1201,7,14.9,50.6,-1.2,0,0,0,0.211944592
891,7,14.9,50.2,-1.2,0,0,0,0.285685134
822,7,14.9,50.2,-1.2,0,0,0,0.309666003
802,4,14.9,50.6,-1.2,3,0,0,0.18136477
789,4,14.9,50.6,-1.2,0,0,0,0.184353036
665,0,14.9,50.6,-1.2,4,0,0,0
666,0,14.9,50.6,-1.2,0,0,0,0
661,0,14.9,50.6,-1.2,0,0,0,0
682,0,14.9,50.6,-1.2,0,0,0,0
665,0,14.9,50.6,-1.2,0,0,0,0
669,0,14.9,50.6,-1.2,0,0,0,0
673,0,14.9,51,-1.2,0,0,0,0
666,0,14.9,51.4,-0.8,0,0,0,0
668,0,14.9,51.8,-1.6,0,0,0,0
671,0,14.9,51.8,-0.6,0,0,0,0
673,0,14.9,51.8,-0.6,0,0,0,0
908,0,14.5,47.8,-0.4,0,0.4,0,0
1092,17,14.5,42,-0.4,17,0,0,0.566100566
1063,17,15.3,41.2,-0.2,0,0.8,0,0.581544514
1081,17,17.3,38.8,0,0,2,0,0.571861071
1643,35,16.1,30.2,-0.2,18,1.2,0.111431316,0.774636198
1615,34,14.9,20.4,-0.6,1,1.2,2.005763689,0.765550239
1638,34,15.3,23.5,-0.4,0,0.4,0,0.754800755
1622,34,15.3,25.5,-0.6,0,0,0,0.762246385
660,0,15.7,23.1,-0.6,34,0.4,0.01966435,0
663,0,15.7,21.6,-0.7,0,0,0,0
663,0,14.9,19.6,-0.8,0,0.8,0,0
665,0,16.1,22.4,-0.5,0,1.2,0,0
666,0,17.3,30.6,-0.3,0,1.2,0,0
665,0,16.9,29,-0.4,0,0.4,0,0
669,0,15.7,23.9,-0.5,0,1.2,0,0
669,0,33.7,67.8,0.3,0,18,0,0
666,0,43.1,69,0.5,0,9.4,0,0
677,0,14.5,17.3,-0.4,0,28.6,0,0
883,11,15.3,21.6,-0.6,11,0.8,0.121561436,0.453001133
1590,42,15.7,23.5,-0.4,31,0.4,0.021567351,0.960548885
1872,39,16.9,31,-0.1,3,1.2,0.668587896,0.757575758
1876,39,14.9,25.1,-0.2,0,2,0,0.755960457
663,0,14.9,22.7,-0.3,39,0,0,0
664,0,18.8,44.3,0.1,0,3.9,0,0
668,0,20.8,58,0.4,0,2,0,0
667,0,17.3,39.2,0.2,0,3.5,0,0
668,0,14.5,23.5,-0.3,0,2.8,0,0
673,0,20,52.9,0.2,0,5.5,0,0
689,0,28.2,78.8,0.9,0,8.2,0,0
741,0,22,56.9,0.6,0,6.2,0,0
770,3,16.5,31.8,-0.1,3,5.5,3.064361191,0.141676505
770,3,23.1,67.1,0.5,0,6.6,0,0.141676505
668,0,15.7,32.2,0,3,7.4,4.122958694,0
666,0,20.8,51.4,0.1,0,5.1,0,0
675,0,63.5,89,0.9,0,42.7,0,0
662,0,29,55.3,0.4,0,34.5,0,0
664,0,21.6,51.8,0.2,0,7.4,0,0
662,0,16.9,30.2,-0.1,0,4.7,0,0
668,0,17.6,28.6,-0.1,0,0.7,0,0
669,0,16.5,28.2,-0.6,0,1.1,0,0
668,0,16.5,29.4,-2.1,0,0,0,0
667,0,15.3,28.2,-2.6,0,1.2,0,0
669,0,14.9,29.8,-1.4,0,0.4,0,0
667,0,14.5,26.3,-0.7,0,0.4,0,0
668,0,18,40.4,-0.2,0,3.5,0,0
669,0,23.9,68.6,0.5,0,5.9,0,0
671,0,24.7,69,0.6,0,0.8,0,0
671,0,24.7,70.2,0.5,0,0,0,0
670,0,18.8,43.9,0.2,0,5.9,0,0
668,0,16.1,21.6,-0.2,0,2.7,0,0
671,0,18.4,34.5,0,0,2.3,0,0
671,0,18.4,39.2,0,0,0,0,0
673,0,14.5,17.6,-0.4,0,3.9,0,0
669,0,16.1,20.8,-0.7,0,1.6,0,0
671,0,15.7,21.2,-0.6,0,0.4,0,0
675,0,16.1,22.7,-0.3,0,0.4,0,0
674,0,18.8,40.4,0.1,0,2.7,0,0
674,0,16.1,31.4,-0.1,0,2.7,0,0
674,0,15.7,19.2,-0.2,0,0.4,0,0
673,0,17.3,28.6,-0.1,0,1.6,0,0
672,0,16.9,30.2,-0.1,0,0.4,0,0
672,0,14.5,18,-1.4,0,2.4,0,0
673,0,14.9,22,-1,0,0.4,0,0
672,0,14.5,20.4,-0.5,0,0.4,0,0
672,0,18.8,44.7,0,0,4.3,0,0
673,0,22.4,57.6,0.6,0,3.6,0,0
672,0,16.5,27.5,-0.1,0,5.9,0,0
672,0,21.6,56.5,0.3,0,5.1,0,0
671,0,25.1,76.9,0.6,0,3.5,0,0
670,0,19.2,48.2,-0.4,0,5.9,0,0
667,0,14.9,16.1,-0.4,0,4.3,0,0
668,0,18,34.5,0,0,3.1,0,0
671,0,15.3,22,-0.3,0,2.7,0,0
671,0,15.3,17.6,-0.5,0,0,0,0
673,0,15.7,22.4,-0.6,0,0.4,0,0
671,0,15.3,22.4,-1.2,0,0.4,0,0
670,0,14.1,20.8,-1.2,0,1.2,0,0
694,0,14.9,27.5,-0.9,0,0.8,0,0
1298,15,14.5,29,-1.3,15,0.4,0.044572526,0.420226923
1522,15,15.7,30.2,-0.9,0,1.2,0,0.358380122
1429,20,15.3,32.2,-0.7,5,0.4,0.133717579,0.508938228
857,12,15.3,37.3,-1,8,0,0,0.509175772
665,0,15.7,44.3,-1.8,12,0.4,0.055715658,0
663,0,15.7,47.1,-1.5,0,0,0,0
663,0,15.3,47.8,-0.9,0,0.4,0,0
663,0,14.9,47.8,-0.1,0,0.4,0,0
665,0,14.9,48.6,-0.1,0,0,0,0
671,0,14.9,48.6,-0.1,0,0,0,0
669,0,14.9,48.6,-0.1,0,0,0,0
669,0,14.9,48.2,-0.1,0,0,0,0
683,0,14.9,48.6,-0.1,0,0,0,0
1342,25,14.9,48.6,-0.1,25,0,0,0.677414984
1514,27,14.9,49,-0.1,2,0,0,0.648492855
1132,18,14.9,49,-0.1,9,0,0,0.578220366
668,0,14.9,49,-0.1,18,0,0,0
666,0,14.9,49.8,-0.1,0,0,0,0
665,0,14.9,50.2,-0.1,0,0,0,0
664,0,14.9,49.8,-0.1,0,0,0,0
673,0,14.9,49.4,-0.1,0,0,0,0
677,0,14.9,49.8,-0.1,0,0,0,0
671,0,14.9,50.2,-0.1,0,0,0,0
550,0,14.9,50.6,-0.1,0,0,0,0
140,0,14.9,50.6,-0.1,0,0,0,0
1039,0,14.9,50.6,-0.1,0,0,0,0
822,0,14.9,51.4,-0.1,0,0,0,0
714,0,14.9,51,-0.1,0,0,0,0
671,0,14.9,50.2,-0.1,0,0,0,0
653,0,14.9,50.6,0.1,0,0,0,0
687,0,14.9,50.2,0.3,0,0,0,0
741,0,15.3,50.2,0.2,0,0.4,0,0
765,0,18,53.3,0.9,0,2.7,0,0
810,0,19.6,53.7,0.8,0,1.6,0,0
650,0,20.8,50.6,0.9,0,1.2,0,0
624,0,20.4,49,0.7,0,0.4,0,0
1102,6,17.6,36.9,0.2,6,2.8,0.780019212,0.197987131
934,8,19.2,40.8,0.2,2,1.6,1.337175793,0.311465836
1024,8,20.8,48.6,0.5,0,1.6,0,0.284090909
1245,8,20,46.3,0.4,0,0.8,0,0.23366192
833,6,16.1,29,0,2,3.9,3.259365994,0.261922951
821,6,15.3,23.5,-0.3,0,0.8,0,0.265751301
629,0,18,37.6,0,6,2.7,0.752161383,0
626,0,21.6,58.8,0.6,0,3.6,0,0
648,0,16.5,28.6,0,0,5.1,0,0
681,0,16.1,23.9,-0.1,0,0.4,0,0
748,0,15.3,21.2,-0.4,0,0.8,0,0
648,0,15.3,22.4,-1.1,0,0,0,0
634,0,15.3,24.3,-0.4,0,0,0,0
695,0,14.9,25.1,-0.3,0,0.4,0,0
793,0,16.1,30.6,-0.2,0,1.2,0,0
710,0,17.6,40,0,0,1.5,0,0
626,0,22.4,65.9,0.5,0,4.8,0,0
617,0,27.5,84.3,0.8,0,5.1,0,0
668,0,29,85.9,0.9,0,1.5,0,0
647,0,27.1,77.3,0.9,0,1.9,0,0
675,0,24.3,66.3,0.7,0,2.8,0,0
650,0,18,31.4,0,0,6.3,0,0
640,0,27.5,75.7,0.6,0,9.5,0,0
626,0,30.2,81.6,0.7,0,2.7,0,0
619,0,18,36.9,0.1,0,12.2,0,0
625,0,14.9,16.1,-0.4,0,3.1,0,0
628,0,14.9,14.5,-1,0,0,0,0
629,0,15.7,20.8,-0.7,0,0.8,0,0
627,0,15.3,20.8,-0.9,0,0.4,0,0
630,0,18.8,40.8,-0.1,0,3.5,0,0
629,0,26.3,77.3,0.6,0,7.5,0,0
630,0,15.3,23.9,-0.2,0,11,0,0
629,0,20,50.6,0.2,0,4.7,0,0
630,0,22.4,67.1,0.5,0,2.4,0,0
628,0,19.6,51.4,0.2,0,2.8,0,0
638,0,22,53.3,0.3,0,2.4,0,0
1212,10,17.3,34.1,0,10,4.7,0.785590778,0.300030003
